image_file,description
./images\alliance-football-club-F-SN9vieh_Y-unsplash.png," Night soccer game, young player, kicking ball."
./images\clem-onojeghuo-n6gnCa77Urc-unsplash.png, Fit woman jumping with her arms outstretched and one leg raised.
./images\cole-keister-xMMh-VFGL9M-unsplash.png," Sunset at the beach, with sand and seaweed visible."
./images\dim-hou-qBhpPxW3ESs-unsplash.png," A man in a blue surgical gown and mask, holding up a syringe filled with yellow liquid."
./images\eben-kassaye-ciJLkyRngAY-unsplash.png," Doctor in a blue dress outside of a building, smiling."
./images\gianluca-zuccarelli-KGXF_TrVUiE-unsplash.png, Landscape photograph with surreal effect showing a person on rocky shore looking out to sea.
./images\jeffrey-f-lin-q4AqmDZ3k8o-unsplash.png, A group of women in soccer uniforms lined up on a field.
./images\jeshoots-com-l0j0DHVWcIE-unsplash.png," A professional female doctor in scrubs and stethoscope, ready to assist."
./images\joshua-earle-ICE__bo2Vws-unsplash.png, Person standing on rocks at sunset by sea.
./images\kuan-fang-WaQ5xQq2E6g-unsplash.png, Soccer players compete on field.
